Program ID,Program Name,Short Name,Degree,Faculty,Department,Category,Mode,Duration,Years,Semesters,Credits,Eligibility,Minimum Percentage,Required Stream,Admission Type,Entrance Required,Entrance Exam,Semester Fee,Annual Fee,Registration Fee,Hostel Fee,Hostel Included,Security Fee,Total Fee,Seats,Career Opportunities,Description,Approvals,Status,Scholarships,International Eligibility
43,B.Sc. Psychology Honours,N/A,B.Sc. (Hons.),Faculty of Education,Psychology,Science,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,10+2 in Science stream; Minimum 45% marks from a recognized Board,45,Science,Direct Entry,N/A,None,40000,N/A,5500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44,Diploma in Civil Engineering,N/A,Diploma,Faculty of Engineering Technology & Computing,Civil Engineering,Science; Any,Direct Entry,3 Year / 6 Sems (Direct) | 2 Year / 4 Sems (Lateral),N/A,6,N/A,"Direct Entry: A candidate must have passed Matriculation from a Board recognized or established by State/Central Govt.; Lateral Entry: Passed 10+2 examination with Physics/ Mathematics / Chemistry/ Computer Science/ Electronics/ Information Technology/ Biology/ Informatics Practices/ Biotechnology/ Technical Vocational subject/ Agriculture/ Engineering Graphics/ Business Studies/ Entrepreneurship,; OR; 10th +2 year ITI shall be eligible for admission to Second Year Diploma Course(s) in Any branch of Engineering and Technology. (The Affiliating Body will offer suitable bridge courses such as Mathematics, Physics, Engineering drawing, etc., for the students coming from diverse backgrounds to achieve desired learning outcomes of the programme)",35,Science; Any,Direct Entry,N/A,None,31200,N/A,5500,N/A,N/A,N/A,N/A,N/A,Civil Engineer (Junior); Site Supervisor; Survey Technician; Draughtsman,"Diploma in civil engineering covering structural, construction, surveying and materials technology.",N/A,N/A,N/A,N/A
45,Diploma in Computer Science Engineering,N/A,Diploma,Faculty of Engineering Technology & Computing,Computer Science,Any,Direct Entry,3 Year / 6 Sems (Direct) | 2 Year / 4 Sems (Lateral),N/A,6,N/A,"Direct Entry: A candidate must have passed Matriculation from a Board recognized or established by State/Central Govt.; Lateral Entry: Passed 10+2 examination with Physics/ Mathematics / Chemistry/ Computer Science/ Electronics/ Information Technology/ Biology/ Informatics Practices/ Biotechnology/ Technical Vocational subject/ Agriculture/ Engineering Graphics/ Business Studies/ Entrepreneurship,; OR; 10th +2 year ITI shall be eligible for admission to Second Year Diploma Course(s) in Any branch of Engineering and Technology. (The Affiliating Body will offer suitable bridge courses such as Mathematics, Physics, Engineering drawing, etc., for the students coming from diverse backgrounds to achieve desired learning outcomes of the programme)",35,Any,Direct Entry,N/A,None,31200,N/A,5500,N/A,N/A,N/A,N/A,N/A,Junior Developer; IT Technician; Web Developer; Network Support,"Diploma covering programming, data structures, networking, databases and software development.",N/A,N/A,N/A,N/A
46,Diploma in Electrical Engineering,N/A,Diploma,Faculty of Engineering Technology & Computing,Electrical Engineering,Any,Direct Entry,3 Year / 6 Sems (Direct) | 2 Year / 4 Sems (Lateral),N/A,6,N/A,"Direct Entry: A candidate must have passed Matriculation from a Board recognized or established by State/Central Govt.; Lateral Entry: Passed 10+2 examination with Physics/ Mathematics / Chemistry/ Computer Science/ Electronics/ Information Technology/ Biology/ Informatics Practices/ Biotechnology/ Technical Vocational subject/ Agriculture/ Engineering Graphics/ Business Studies/ Entrepreneurship,; OR; 10th +2 year ITI shall be eligible for admission to Second Year Diploma Course(s) in Any branch of Engineering and Technology. (The Affiliating Body will offer suitable bridge courses such as Mathematics, Physics, Engineering drawing, etc., for the students coming from diverse backgrounds to achieve desired learning outcomes of the programme)",35,Any,Direct Entry,N/A,None,30000,N/A,5500,N/A,N/A,N/A,N/A,N/A,Electrician Supervisor; Junior Engineer; Plant Technician; Wireman,"Diploma in electrical engineering covering circuits, machines, power systems and industrial electronics.",N/A,N/A,N/A,N/A
47,Diploma in Mechanical Engineering,N/A,Diploma,Faculty of Engineering Technology & Computing,Mechanical Engineering,Any,Direct Entry,3 Year / 6 Sems (Direct) | 2 Year / 4 Sems (Lateral),N/A,6,N/A,"Direct Entry: A candidate must have passed Matriculation from a Board recognized or established by State/Central Govt.; Lateral Entry: Passed 10+2 examination with Physics/ Mathematics / Chemistry/ Computer Science/ Electronics/ Information Technology/ Biology/ Informatics Practices/ Biotechnology/ Technical Vocational subject/ Agriculture/ Engineering Graphics/ Business Studies/ Entrepreneurship,; OR; 10th +2 year ITI shall be eligible for admission to Second Year Diploma Course(s) in Any branch of Engineering and Technology. (The Affiliating Body will offer suitable bridge courses such as Mathematics, Physics, Engineering drawing, etc., for the students coming from diverse backgrounds to achieve desired learning outcomes of the programme)",35,Any,Direct Entry,N/A,None,31200,N/A,5500,N/A,N/A,N/A,N/A,N/A,Junior Mechanical Engineer; Workshop Supervisor; Plant Operator,"Diploma in mechanical engineering covering thermodynamics, manufacturing, machines and workshops.",N/A,N/A,N/A,N/A
48,B.Tech Civil Engineering,N/A,B.Tech,Faculty of Engineering Technology & Computing,Civil Engineering,Science,Direct Entry,4 Year / 8 Sems (Direct) | 3 Year / 6 Sems (Lateral),N/A,8,N/A,"Direct Entry: A candidate must have passed 10+2 examination with Physics, Chemistry and Mathematics from a recognized Board with 45% marks (40% marks in case of candidates belonging to reserved category) in the above subjects taken together.; Note: The University will offer suitable Bridge Course such as Physics, Chemistry & Mathematics, Engineering Drawing etc. for the students coming from diverse backgrounds to prepare Level playing field and desired learning outcomes of the programme.; Lateral Entry: A candidate must have Three Year/Two Year (Lateral Entry) Diploma Examination with at least 45% marks (40% marks in case of candidates belonging to reserved category) in any branch of Engineering and Technology",45,Science,Direct Entry,N/A,None,55200,N/A,5500,N/A,N/A,N/A,N/A,N/A,Civil Engineer; Site Engineer; Project Manager; Government PWD Officer; UPSC IES,"Four-year B.Tech degree in civil engineering covering structural, geotechnical, environmental and transportation engineering.",N/A,N/A,N/A,N/A
49,B.Tech Mechanical Engineering,N/A,B.Tech,Faculty of Engineering Technology & Computing,Mechanical Engineering,Science,Direct Entry,4 Year / 8 Sems (Direct) | 3 Year / 6 Sems (Lateral),N/A,8,N/A,"Direct Entry: A candidate must have passed 10+2 examination with Physics, Chemistry and Mathematics from a recognized Board with 45% marks (40% marks in case of candidates belonging to reserved category) in the above subjects taken together.; Note: The University will offer suitable Bridge Course such as Physics, Chemistry & Mathematics, Engineering Drawing etc. for the students coming from diverse backgrounds to prepare Level playing field and desired learning outcomes of the programme.; Lateral Entry: A candidate must have Three Year/Two Year (Lateral Entry) Diploma Examination with at least 45% marks (40% marks in case of candidates belonging to reserved category) in any branch of Engineering and Technology",45,Science,Direct Entry,N/A,None,55200,N/A,5500,N/A,N/A,N/A,N/A,N/A,Mechanical Engineer; Design Engineer; Production Manager; ISRO/DRDO,"B.Tech in mechanical engineering covering thermodynamics, manufacturing, design and automation.",N/A,N/A,N/A,N/A
50,B.Tech Computer Science Engineering (CSE),N/A,B.Tech,Faculty of Engineering Technology & Computing,Computer Science Engineering,Science,Direct Entry,4 Year / 8 Sems (Direct) | 3 Year / 6 Sems (Lateral),N/A,8,N/A,"Direct Entry: A candidate must have passed 10+2 examination with Physics and Mathematics as compulsory subjects with one of the subjects of Chemistry, Biotechnology, Computer Science and Biology from recognized Boards or any other examination recognized as equivalent there to, with 45% marks. 5% relaxation in marks shall be given to Schedule Caste/ Schedule Tribe or any rural and under privileged candidates.; Lateral Entry: A candidate must have Three Year/Two Year (Lateral Entry) Diploma Examination with at least 45% marks (40% marks in case of candidates belonging to reserved category) in any branch ofEngineering and Technology.",45,Science,Direct Entry,N/A,None,55200,N/A,5500,N/A,N/A,N/A,N/A,N/A,Software Engineer; Web Developer; Data Scientist; System Architect; FAANG,"Premier B.Tech CSE degree covering programming, algorithms, OS, databases, networks and software engineering.",N/A,N/A,N/A,N/A
51,B.Tech Electrical Engineering,N/A,B.Tech,Faculty of Engineering Technology & Computing,Electrical Engineering,Science,Direct Entry,4 Year / 8 Sems (Direct) | 3 Year / 6 Sems (Lateral),N/A,8,N/A,"Direct Entry: A candidate must have passed 10+2 examination with Physics and Mathematics as compulsory subjects with one of the subjects of Chemistry, Biotechnology, Computer Science and Biology from recognized Boards or any other examination recognized as equivalent there to, with 45% marks. 5% relaxation in marks shall be given to Schedule Caste/ Schedule Tribe or any rural and under privileged candidates.; Lateral Entry: A candidate must have Three Year/Two Year (Lateral Entry) Diploma Examination with at least 45% marks (40% marks in case of candidates belonging to reserved category) in any branch of Engineering and Technology.",45,Science,Direct Entry,N/A,None,58200,N/A,5500,N/A,N/A,N/A,N/A,N/A,Electrical Engineer; Power System Engineer; PSPCL Officer; UPSC IES,"B.Tech in electrical engineering covering power systems, electronics, control systems and renewable energy.",N/A,N/A,N/A,N/A
52,B.Tech Artificial Intelligence & Data Sciences,N/A,B.Tech,Faculty of Engineering Technology & Computing,AI & Data Science,Science,Direct Entry,4 Year / 8 Sems (Direct) | 3 Year / 6 Sems (Lateral),N/A,8,N/A,"Direct Entry: A candidate must have passed 10+2 examination with Physics and Mathematics as compulsory subjects with one of the subjects of Chemistry, Biotechnology, Computer Science and Biology from recognized Boards or any other examination recognized as equivalent there to, with 45% marks. 5% relaxation in marks shall be given to Schedule Caste/ Schedule Tribe or any rural and under privileged candidates.; Lateral Entry: A candidate must have Three Year/Two Year (Lateral Entry) Diploma Examination with at least 45% marks (40% marks in case of candidates belonging to reserved category) in any branch of Engineering and Technology.",45,Science,Direct Entry,N/A,None,61200,N/A,5500,N/A,N/A,N/A,N/A,N/A,AI Engineer; Data Scientist; ML Engineer; Research Scientist; Product Manager,"Cutting-edge B.Tech in AI and Data Science covering machine learning, deep learning, big data, NLP and cloud computing.",N/A,N/A,N/A,N/A
53,B.Tech Cyber Security & Forensics,N/A,B.Tech,Faculty of Engineering Technology & Computing,Cyber Security,Science,Direct Entry,4 Year / 8 Sems (Direct) | 3 Year / 6 Sems (Lateral),N/A,8,N/A,"Direct Entry: A candidate must have passed 10+2 examination with Physics and Mathematics as compulsory subjects with one of the subjects of Chemistry, Biotechnology, Computer Science and Biology from recognized Boards or any other examination recognized as equivalent there to, with 45% marks. 5% relaxation in marks shall be given to Schedule Caste/ Schedule Tribe or any rural and under privileged candidates.; Lateral Entry: A candidate must have Three Year/Two Year (Lateral Entry) Diploma Examination with at least 45% marks (40% marks in case of candidates belonging to reserved category) in any branch of Engineering and Technology.",45,Science,Direct Entry,N/A,None,61200,N/A,5500,N/A,N/A,N/A,N/A,N/A,Cyber Security Analyst; Ethical Hacker; Digital Forensic Analyst; Security Consultant,"Specialized B.Tech in cybersecurity, ethical hacking, digital forensics, cryptography and network security.",N/A,N/A,N/A,N/A
54,B.Tech with Minor in Defence Technology,N/A,B.Tech,Faculty of Engineering Technology & Computing,Defence Technology,Science,Direct Entry,4 Year / 8 Sems,N/A,8,N/A,N/A,45,Science,Direct Entry,N/A,None,61200,N/A,5500,N/A,N/A,N/A,N/A,N/A,Defence Researcher; DRDO Scientist; Military Tech Specialist; Defence Contractor,"B.Tech engineering program with a minor specialization in defence technology, weapons systems and strategic tech.",N/A,N/A,N/A,N/A
55,M.Tech Computer Science Engineering,N/A,M.Tech,Faculty of Engineering Technology & Computing,Computer Science Engineering,Engineering,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,"A candidate must have passed Btech./B.E. in CSE from any recognized Institute/University with minimum 50% marks (40% marks in case of candidates belonging to reserved category) in aggregate.; OR; must have passed A and B Section of Institute of Engineering (India), Calcutta examination OR its equivalent.",50,Engineering,Direct Entry,N/A,None,52800,N/A,5500,N/A,N/A,N/A,N/A,N/A,Senior Software Engineer; Research Engineer; Assistant Professor; Tech Lead,"Post-graduate M.Tech in CSE with research specializations in AI, networking, security and software systems.",N/A,N/A,N/A,N/A
56,M.Tech Artificial Intelligence & Data Sciences,N/A,M.Tech,Faculty of Engineering Technology & Computing,AI & Data Science,Engineering,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,"A candidate must have passed Btech./B.E. in CSE from any recognized Institute/University with minimum 50% marks (40% marks in case of candidates belonging to reserved category) in aggregate.; OR; must have passed A and B Section of Institute of Engineering (India), Calcutta examination OR its equivalent.",50,Engineering,Direct Entry,N/A,None,60000,N/A,5500,N/A,N/A,N/A,N/A,N/A,AI Research Scientist; Data Science Lead; ML Architect; University Faculty,Advanced M.Tech in AI and Data Sciences with cutting-edge research in machine learning and intelligent systems.,N/A,N/A,N/A,N/A
57,M.Tech Cyber Security & Forensics,N/A,M.Tech,Faculty of Engineering Technology & Computing,Cyber Security,Engineering,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,"A candidate must have passed Btech./B.E. in CSE from any recognized Institute/University with minimum 50% marks (40% marks in case of candidates belonging to reserved category) in aggregate.; OR; must have passed A and B Section of Institute of Engineering (India), Calcutta examination OR its equivalent.",50,Engineering,Direct Entry,N/A,None,60000,N/A,5500,N/A,N/A,N/A,N/A,N/A,Security Architect; CISO; Forensics Expert; Research Scientist,"Advanced M.Tech in cybersecurity with research focus on network forensics, cryptography and security systems.",N/A,N/A,N/A,N/A
58,M.Tech Electrical Engineering,N/A,M.Tech,Faculty of Engineering Technology & Computing,Electrical Engineering,Engineering,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,"A candidate must have passed Btech./B.E. in Electrical/ECE from any recognized Institute/University with minimum 50% marks (40% marks in case of candidates belonging to reserved category)in aggregate.; OR; must have passed A and B Section of Institute of Engineering (India), Calcutta examination OR its equivalent.",50,Engineering,Direct Entry,N/A,None,52800,N/A,5500,N/A,N/A,N/A,N/A,N/A,Senior Electrical Engineer; Power System Designer; Research Engineer,Post-graduate M.Tech in electrical engineering with specialization in power systems or electronics.,N/A,N/A,N/A,N/A
59,M.Tech Construction Technology & Management,N/A,M.Tech,Faculty of Engineering Technology & Computing,Civil Engineering,Engineering,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,"A candidate must have passed Btech./B.E. in Civil Engineering from any recognized Institute/University with minimum 50% marks (40% marks in case of candidates belonging to reserved category)in aggregate.; OR; must have passed A and B Section of Institute of Engineering (India), Calcutta examination OR its equivalent.",50,Engineering,Direct Entry,N/A,None,52800,N/A,5500,N/A,N/A,N/A,N/A,N/A,Construction Manager; Project Consultant; Real Estate Developer,"Advanced M.Tech in construction project management, quality control and building technology.",N/A,N/A,N/A,N/A
60,M.Tech Structural Engineering,N/A,M.Tech,Faculty of Engineering Technology & Computing,Civil Engineering,Engineering,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,"A candidate must have passed Btech./B.E. in Civil Engineering from any recognized Institute/University with minimum 50% marks (40% marks in case of candidates belonging to reserved category)in aggregate.; OR; must have passed A and B Section of Institute of Engineering (India), Calcutta examination OR its equivalent.",50,Engineering,Direct Entry,N/A,None,52800,N/A,5500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61,M.Tech Transportation Engineering,N/A,M.Tech,Faculty of Engineering Technology & Computing,Civil Engineering,Engineering,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,"A candidate must have passed Btech./B.E. in Civil Engineering from any recognized Institute/University with minimum 50% marks (40% marks in case of candidates belonging to reserved category)in aggregate.; OR; must have passed A and B Section of Institute of Engineering (India), Calcutta examination OR its equivalent.",50,Engineering,Direct Entry,N/A,None,52800,N/A,5500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
62,M.Tech Mechanical Engineering (Machine Design),N/A,M.Tech,Faculty of Engineering Technology & Computing,Mechanical Engineering,Engineering,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,"A candidate must have passed Btech./B.E. in Mechanical Engineering from any recognized Institute/University with minimum 50% marks (40% marks in case of candidates belonging to reserved category)in aggregate.; OR; must have passed A and B Section of Institute of Engineering (India), Calcutta examination OR its equivalent.",50,Engineering,Direct Entry,N/A,None,52800,N/A,5500,N/A,N/A,N/A,N/A,N/A,Design Engineer; R&D Engineer; Product Development Manager,"M.Tech specialization in machine design covering CAD/CAM, finite element analysis and industrial product design.",N/A,N/A,N/A,N/A
63,M.Sc. Mathematics,N/A,M.Sc.,Faculty of Engineering Technology & Computing,Mathematics,Science; Arts,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,B.A./ B. Sc. (General) with Mathematics as a major subject with 50% marks from any recognized Institute/University.,50,Science; Arts,Direct Entry,N/A,None,44400,N/A,5500,N/A,N/A,N/A,N/A,N/A,Mathematician; Data Analyst; Actuary; College Lecturer; Research Scientist,"Post-graduate mathematics covering abstract algebra, real/complex analysis, topology, differential equations and statistics.",N/A,N/A,N/A,N/A
64,M.Sc. Physics,N/A,M.Sc.,Faculty of Engineering Technology & Computing,Physics,Science,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,"B.Sc. with Physics, Chemistry & Mathematics with 50% marks from any recognized Institute/University.",50,Science,Direct Entry,N/A,None,44400,N/A,5500,N/A,N/A,N/A,N/A,N/A,Physicist; Research Scientist; DRDO/ISRO; College Lecturer,"Advanced post-graduate physics covering quantum mechanics, electromagnetism, nuclear physics and solid state physics.",N/A,N/A,N/A,N/A
65,M.Sc. Chemistry,N/A,M.Sc.,Faculty of Engineering Technology & Computing,Chemistry,Science,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,"B.Sc. with Physics, Chemistry & Biology/Mathematics with 50% marks from any recognized Institute/ University.",50,Science,Direct Entry,N/A,None,44400,N/A,5500,N/A,N/A,N/A,N/A,N/A,Chemist; Quality Analyst; Pharma Research; College Lecturer,"Post-graduate chemistry covering organic, inorganic, physical and analytical chemistry with lab work.",N/A,N/A,N/A,N/A
66,Bachelor of Computer Applications (BCA),N/A,BCA,Faculty of Engineering Technology & Computing,Computer Applications,Any,Direct Entry,3 Year / 6 Sems (Direct) | 2 Year / 4 Sems | 1 Year / 2 Sems (Lateral),N/A,6,N/A,Direct Entry: 10+2 or its equivalent froma recognized Board.; Lateral Entry (3rd Sem): 3 Year Diploma in Computer Science Engineering/ Diploma in Information Technology (after 10th) OR Diploma in Computer Applications/ Information Technology (1 year) after 10+2) from a recognized Board/University.; Lateral Entry (5 Sem): Diploma in Computer Applications/ Information Technology (2 year) after 10+2 from a recognized Board/University.,45,Any,Direct Entry,N/A,None,39600,N/A,5500,N/A,N/A,N/A,N/A,N/A,Software Developer; Web Designer; Database Administrator; System Analyst,"Three-year computer applications degree covering programming, databases, web development, networking and software engineering.",N/A,N/A,N/A,N/A
67,BCA — Cyber Security & Forensics,N/A,BCA,Faculty of Engineering Technology & Computing,Computer Applications,Any,Direct Entry,3 Year / 6 Sems (Direct) | 2 Year / 4 Sems | 1 Year / 2 Sems (Lateral),N/A,6,N/A,Direct Entry: 10+2 or its equivalent from a recognized Board; Lateral Entry (3rd Sem): Diploma (Engg.) in any stream (3 Year after 10th) OR Diploma in Computer Applications/ Information Technology (1 year) after 10+2) from a recognized Board/University.; Lateral Entry (5 Sem): Diploma in Computer Applications/ Information Technology (2 year) after 10+2 from a recognized Board/University.,45,Any,Direct Entry,N/A,None,46800,N/A,5500,N/A,N/A,N/A,N/A,N/A,Security Analyst; Ethical Hacker; Forensics Specialist; Network Admin,"BCA with cybersecurity specialization covering ethical hacking, network security, digital forensics and cryptography.",N/A,N/A,N/A,N/A
68,BCA — Artificial Intelligence & Data Science,N/A,BCA,Faculty of Engineering Technology & Computing,Computer Applications,Any,Direct Entry,3 Year / 6 Sems (Direct) | 2 Year / 4 Sems | 1 Year / 2 Sems (Lateral),N/A,6,N/A,Direct Entry: 10+2 or its equivalent from a recognized Board; Lateral Entry (3rd Sem): Diploma (Engg.) in any stream (3 Year after 10th) OR Diploma in Computer Applications/ Information Technology (1 year) after 10+2) from a recognized Board/University.; Lateral Entry (5 Sem): Diploma in Computer Applications/ Information Technology (2 year) after 10+2 from a recognized Board/University.,45,Any,Direct Entry,N/A,None,46800,N/A,5500,N/A,N/A,N/A,N/A,N/A,Junior Data Scientist; ML Developer; AI Analyst; Data Engineer,"BCA specialization in AI and Data Science with machine learning, Python, data analytics and intelligent systems.",N/A,N/A,N/A,N/A
69,BCA (Hons. with Research),N/A,BCA (Hons.),Faculty of Engineering Technology & Computing,Computer Applications,Any,Direct Entry,4 Year / 8 Sems,N/A,8,N/A,Level 1: (Certificate in Computer Applications); (1 Year -2 Semesters); Entry:10+2 or its equivalent in any stream from a recognized Institute/ University (1 Year -2 Semesters); Exit: The Student who Completed one year (2 Semesters) and leave the program will be awarded Certificate in Computer Applications.; Level 2: (Diploma in Computer Applications); (2 Year -4 Semesters); Entry: The Student who Completed one year (2 Semesters) of Certificate in Computer Applications from any recognized university.; Exit: The Student who Completed two Year (4 Semesters) and leave the program will be awarded Diploma Computer Applications.; Level 3: (Bachelor of Computer Applications) (3 Year - 6 Semesters); Entry: The Student who Completed two Year (4 Semesters) of Diploma in Computer Applications from any recognized university.; Exit: The Student who Completed three Year (6 Semesters) and leave the program will be awarded Bachelor of Applications (BCA).; Level 4: Bachelor of in Computer Applications (Hons with Research); (4 Year -8 Semesters); Entry: The Student who Completed Three Year (6 Semesters) of Bachelor of Computer Applications with 75% marks in aggregate from any recognized university.; Exit: The Student who Completed Four Year (8 Semesters) and leave the program will be awarded Bachelor of Applications (BCA) (Hons with Research).,45,Any,Direct Entry,N/A,None,38400,N/A,5500,N/A,N/A,N/A,N/A,N/A,Software Researcher; Product Engineer; Tech Entrepreneur; PhD aspirant,Four-year BCA Honours with research in Year 4 under NEP 2020. Multiple entry/exit certificates available.,N/A,N/A,N/A,N/A
70,Master of Computer Applications (MCA),N/A,MCA,Faculty of Engineering Technology & Computing,Computer Applications,Any,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,BCA or Bachelor's degree in Computer Science/ Engineering or its equivalent degree or B.Sc. / B.A./ B.Com/ BBA with Mathematics at 10+2 or its equivalent level or Graduation level (with an additional bridge course as per norms of University).,50,Any,Direct Entry,N/A,None,60000,N/A,5500,N/A,N/A,N/A,N/A,N/A,Senior Software Developer; System Architect; IT Manager; Tech Lead,"Post-graduate MCA covering advanced programming, system design, AI/ML, mobile computing and software architecture.",N/A,N/A,N/A,N/A
71,MCA — Cyber Security & Forensics,N/A,MCA,Faculty of Engineering Technology & Computing,Computer Applications,Any,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,BCA or Bachelor's degree in Computer Science/ Engineering or its equivalent degree or B.Sc. /B.A./ B. Com/ BBA with Mathematics at 10+2 or its equivalent level or Graduation level (with an additional bridge course as per norms of university).,50,Any,Direct Entry,N/A,None,66000,N/A,5500,N/A,N/A,N/A,N/A,N/A,Security Architect; CISO; Penetration Tester; Cyber Forensics Expert,"MCA specialization in cybersecurity covering advanced security protocols, forensics, ethical hacking and cyber law.",N/A,N/A,N/A,N/A
72,MCA — Artificial Intelligence & Data Science,N/A,MCA,Faculty of Engineering Technology & Computing,Computer Applications,Any,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,BCA or Bachelor's degree in Computer Science/Engineering or its equivalent degree or B.Sc. /B.A./ B. Com/ BBA with Mathematics at 10+2 or its equivalent level or Graduation level (with an additional bridge course as per norms of university).,50,Any,Direct Entry,N/A,None,66000,N/A,5500,N/A,N/A,N/A,N/A,N/A,Data Scientist; AI Research Engineer; ML Architect; Analytics Lead,"MCA specialization in AI and Data Science covering deep learning, NLP, computer vision and big data systems.",N/A,N/A,N/A,N/A
73,Post Graduate Diploma in Computer Applications (PGDCA),N/A,PGDCA,Faculty of Engineering Technology & Computing,Computer Applications,Any,Direct Entry,1 Year / 2 Sems,N/A,2,N/A,Bachelor's degree in any stream from a recognised Institute/ University.,45,Any,Direct Entry,N/A,None,39600,N/A,5500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
74,Diploma in Library & Information Science (D.Lib. & Inf.Sc.),N/A,Diploma,Faculty of Library & Information Science,Library Science,Any,Direct Entry,1 Year (Annual),N/A,N/A,N/A,"10+2 in any steam or its equivalent with 45% marks in aggregate for General Category and 40% for SC/ST/OBC category candidates, from a recognized Board.",45,Any,Direct Entry,N/A,None,33600,N/A,5500,N/A,N/A,N/A,33600,N/A,Library Assistant; Information Officer; School Librarian,"Diploma in library management, cataloguing, classification and information services.",N/A,N/A,N/A,N/A
75,Bachelor of Library & Information Science (B.Lib. & Inf.Sc.),N/A,B.Lib.,Faculty of Library & Information Science,Library Science,Any,Direct Entry,1 Year / 2 Sems,N/A,2,N/A,"Graduation in any steam with 45% marks general category & 40% for SC/ST/OBC/Any rural and under privileged candidates, from a recognized University",45,Any,Direct Entry,N/A,None,39600,N/A,5500,N/A,N/A,N/A,N/A,N/A,Librarian; Information Manager; Digital Library Specialist,"Bachelor's degree in library science covering library management, digital libraries and information systems.",N/A,N/A,N/A,N/A
76,Master of Library & Information Science (M.Lib. & Inf.Sc.),N/A,M.Lib.,Faculty of Library & Information Science,Library Science,Any,Direct Entry,1 Year / 2 Sems,N/A,2,N/A,"Bachelor of Library with 50% marks for general category & 45% for SC/ST/OBC/Any rural and under privileged candidates, from a recognized University",50,Any,Direct Entry,N/A,None,37200,N/A,5500,N/A,N/A,N/A,N/A,N/A,Senior Librarian; Information Scientist; Digital Archivist; Academic Librarian,"Master's in library science covering advanced information management, knowledge organization and digital archiving.",N/A,N/A,N/A,N/A
77,BALLB (Hons.) Integrated,N/A,BA LLB (Hons.),Faculty of Legal Studies,Law,Any,Direct Entry,5 Year / 10 Sems,N/A,10,N/A,"10+2 or its equivalent with 45% marks for General Category, 42% for OBC and 40% for SC/ST category.",45,Any,Direct Entry,N/A,None,40800,N/A,5500,N/A,N/A,N/A,N/A,N/A,Advocate; Legal Advisor; Judge (after experience); Civil Services; Corporate Lawyer,Five-year integrated BA LLB program combining arts and law subjects with moot court practice.,N/A,N/A,N/A,N/A
78,LLB (Bachelor of Law),N/A,LLB,Faculty of Legal Studies,Law,Any,Direct Entry,3 Year / 6 Sems,N/A,6,N/A,Graduation from any recognized University with 45% marks for General Category 42% for OBC and 40% for SC/ST category.,45,Any,Direct Entry,N/A,None,40800,N/A,5500,N/A,N/A,N/A,N/A,N/A,Advocate; Legal Consultant; Public Prosecutor; Judge; Corporate Counsel,"Professional law degree covering constitutional law, contract law, criminal law, civil procedure and jurisprudence.",N/A,N/A,N/A,N/A
79,LLM — Two Year Course (TYC),N/A,LLM,Faculty of Legal Studies,Law,Any,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,LLB/BALLB/B. Sc. LL.B/BBALL.В./ В. Тech. LLB/B Com LLB or its equivalent with 50% marks (45% for SC/ST/OBC) from a recognized University.,50,Any,Direct Entry,N/A,None,54000,N/A,5500,N/A,N/A,N/A,N/A,N/A,Senior Advocate; Legal Researcher; Law Lecturer; High Court Advocate,"Two-year post-graduate law degree (LLM) with specializations in corporate law, human rights or criminal justice.",N/A,N/A,N/A,N/A
80,LLM — One Year Course (OYC),N/A,LLM,Faculty of Legal Studies,Law,Any,Direct Entry,1 Year / 2 Sems,N/A,2,N/A,LLB/BALLB/B. Sc. LL.B/ BBALL.B./ Btech. LLB/B Com LLB or its equivalent with 50% marks (45% for SC/ST/OBC) from a recognized University.,50,Any,Direct Entry,N/A,None,62400,N/A,5500,N/A,N/A,N/A,N/A,N/A,Senior Advocate; Legal Consultant; Law Researcher,One-year LLM program for working professionals and recent law graduates.,N/A,N/A,N/A,N/A
